,,,,,,,,,,,median,median,median,mean,mean,mean,min,min,min,max,max,max,count,count,count
year,,,,,,,,,,,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All
start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,
Close,Close,Close,nsmallest,-999,2,2,1,0.999,0.002,1254,0.9867,0.9569,0.9827,0.9792357142857143,0.9518599999999999,0.9720315789473684,0.9589,0.9039,0.9039,0.9981,0.9839,0.9981,14,5,19
Open,Close,Close,nsmallest,-999,2,2,1,0.999,0.002,1254,0.9867,0.9569,0.9827,0.9792357142857143,0.9518599999999999,0.9720315789473684,0.9589,0.9039,0.9039,0.9981,0.9839,0.9981,14,5,19
Close,Close,Open,nsmallest,-999,2,3,1,0.999,0.002,1254,0.9819,0.9862,0.9823,0.9821642857142857,0.96806,0.9784526315789472,0.9361,0.8318,0.8318,1.0078,1.0968,1.0968,14,5,19
Open,Close,Open,nsmallest,-999,2,3,1,0.999,0.002,1254,0.9819,0.9862,0.9823,0.9821642857142857,0.96806,0.9784526315789472,0.9361,0.8318,0.8318,1.0078,1.0968,1.0968,14,5,19
Close,Close,Close,nsmallest,-999,4,3,1,0.999,0.002,1254,0.98375,0.9732,0.9815,0.98345,1.0061,0.9894105263157895,0.9513,0.9254,0.9254,1.0086,1.1079,1.1079,14,5,19
Open,Close,Close,nsmallest,-999,4,3,1,0.999,0.002,1254,0.98375,0.9732,0.9815,0.98345,1.0061,0.9894105263157895,0.9513,0.9254,0.9254,1.0086,1.1079,1.1079,14,5,19
Open,Close,Close,nsmallest,-999,3,3,1,0.999,0.002,1254,0.9812,0.9625,0.9812,0.98085,0.9854800000000001,0.9820684210526315,0.9547,0.9074,0.9074,1.0087,1.1315,1.1315,14,5,19
Close,Close,Close,nsmallest,-999,3,3,1,0.999,0.002,1254,0.9812,0.9625,0.9812,0.98085,0.9854800000000001,0.9820684210526315,0.9547,0.9074,0.9074,1.0087,1.1315,1.1315,14,5,19
Open,Close,Close,nsmallest,-999,4,1,2,0.999,0.002,1254,0.9776,1.0025,0.9776,0.9802071428571428,0.9944000000000001,0.983942105263158,0.9623,0.9202,0.9202,1.0264,1.0907,1.0907,14,5,19
Close,Close,Close,nsmallest,-999,4,1,2,0.999,0.002,1254,0.9776,1.0025,0.9776,0.9802071428571428,0.9944000000000001,0.983942105263158,0.9623,0.9202,0.9202,1.0264,1.0907,1.0907,14,5,19
Open,Close,Close,nsmallest,-999,4,1,1,0.999,0.002,1254,0.9761,0.9878,0.9761,0.9728928571428571,0.9856400000000001,0.9762473684210526,0.9407,0.8914,0.8914,1.0239,1.0562,1.0562,14,5,19
Close,Close,Close,nsmallest,-999,4,1,1,0.999,0.002,1254,0.9761,0.9878,0.9761,0.9728928571428571,0.9856400000000001,0.9762473684210526,0.9407,0.8914,0.8914,1.0239,1.0562,1.0562,14,5,19
Open,Close,Open,nsmallest,-999,4,2,2,0.999,0.002,1254,0.9739,0.9913,0.9739,0.9769785714285714,0.96624,0.9741526315789474,0.9459,0.8659,0.8659,1.0071,1.0178,1.0178,14,5,19
Close,Close,Open,nsmallest,-999,4,2,2,0.999,0.002,1254,0.9739,0.9913,0.9739,0.9769785714285714,0.96624,0.9741526315789474,0.9459,0.8659,0.8659,1.0071,1.0178,1.0178,14,5,19
Open,Close,Open,nsmallest,-999,3,3,1,0.999,0.002,1254,0.97865,0.934,0.9736,0.9817785714285714,0.96264,0.9767421052631579,0.9423,0.9313,0.9313,1.0024,1.0196,1.0196,14,5,19
Close,Close,Open,nsmallest,-999,3,3,1,0.999,0.002,1254,0.97865,0.934,0.9736,0.9817785714285714,0.96264,0.9767421052631579,0.9423,0.9313,0.9313,1.0024,1.0196,1.0196,14,5,19
Open,Close,Close,nsmallest,-999,3,1,2,0.999,0.002,1254,0.97845,0.9556,0.9731,0.9809714285714285,0.97362,0.9790368421052632,0.9708,0.9405,0.9405,0.9919,1.0139,1.0139,14,5,19
