date_range,year,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2002-01-04/2002-12-31,2002,nsmallest,-99.0,3,3,2,0.999,0.002,1254,32.8312,34.2088,0.41
2023-01-05/2023-12-23,2023,nsmallest,-99.0,3,3,1,0.999,0.002,1254,28.9302,32.8367,0.18
2023-01-06/2023-12-23,2023,nsmallest,-99.0,2,1,2,0.999,0.002,1254,27.7702,31.7823,0.22
2016-01-04/2016-12-31,2016,nsmallest,-99.0,2,3,1,0.999,0.002,1254,29.9332,30.8607,0.28
2002-01-02/2002-12-31,2002,nsmallest,-99.0,3,2,1,0.999,0.002,1254,30.0002,30.6394,0.24
2023-01-02/2023-06-23,2023,nsmallest,-99.0,3,1,2,0.999,0.002,1254,4.9663,30.0646,0.24
2016-01-01/2016-12-31,2016,nsmallest,-99.0,2,3,1,0.999,0.002,1254,29.9332,30.0029,0.28
2012-01-05/2012-12-31,2012,nsmallest,-99.0,2,3,1,0.999,0.002,1254,28.1766,29.3061,0.16
2009-01-07/2009-12-31,2009,nsmallest,-99.0,2,2,1,0.999,0.002,1254,26.8174,28.6645,0.24
2011-01-04/2011-12-31,2011,nsmallest,-99.0,3,2,1,0.999,0.002,1254,26.916,27.9799,0.18
2012-01-02/2012-12-31,2012,nsmallest,-99.0,2,1,2,0.999,0.002,1254,27.4944,27.8091,0.32
2002-01-03/2002-12-31,2002,nsmallest,-99.0,3,4,1,0.999,0.002,1254,26.8267,27.6307,0.17
2002-01-03/2002-12-31,2002,nsmallest,-99.0,4,3,2,0.999,0.002,1254,26.7315,27.5318,0.49
2004-01-07/2004-12-31,2004,nsmallest,-99.0,3,4,2,0.999,0.002,1254,24.6127,26.0242,0.43
2011-01-05/2011-12-31,2011,nsmallest,-99.0,2,1,3,0.999,0.002,1254,24.8201,26.0102,0.52
2002-01-03/2002-12-31,2002,nsmallest,-99.0,3,3,1,0.999,0.002,1254,25.1056,25.8427,0.26
2012-01-05/2012-12-31,2012,nsmallest,-99.0,2,1,2,0.999,0.002,1254,24.5374,25.4795,0.31
2002-01-04/2002-12-31,2002,nsmallest,-99.0,3,3,3,0.999,0.002,1254,24.5339,25.4759,0.51
2012-01-05/2012-12-31,2012,nsmallest,-99.0,3,1,3,0.999,0.002,1254,24.4527,25.3905,0.48
2012-01-04/2012-12-31,2012,nsmallest,-99.0,4,4,1,0.999,0.002,1254,24.5028,25.2166,0.26
2012-01-02/2012-12-31,2012,nsmallest,-99.0,2,2,2,0.999,0.002,1254,24.8608,25.1366,0.37
2002-01-02/2002-12-31,2002,nsmallest,-99.0,4,4,2,0.999,0.002,1254,24.4647,24.9544,0.39
2011-01-05/2011-12-31,2011,nsmallest,-99.0,2,2,2,0.999,0.002,1254,23.7376,24.8597,0.48
2012-01-06/2012-12-31,2012,nsmallest,-99.0,2,3,1,0.999,0.002,1254,23.5012,24.6085,0.24
2023-01-03/2023-06-23,2023,nsmallest,-99.0,2,4,2,0.999,0.002,1254,4.4301,24.0279,0.32
2011-01-07/2011-12-31,2011,nsmallest,-99.0,3,1,2,0.999,0.002,1254,22.4211,23.8787,0.4
2011-01-07/2011-12-31,2011,nsmallest,-99.0,3,4,1,0.999,0.002,1254,22.0297,23.4534,0.31
2023-01-05/2023-12-23,2023,nsmallest,-99.0,3,3,2,0.999,0.002,1254,20.619,23.1068,0.18
2011-01-07/2011-12-31,2011,nsmallest,-99.0,4,2,1,0.999,0.002,1254,21.6968,23.0919,0.15
2011-01-03/2011-12-31,2011,nsmallest,-99.0,3,1,2,0.999,0.002,1254,22.3093,22.94,0.4
2023-01-06/2023-12-23,2023,nsmallest,-99.0,2,4,2,0.999,0.002,1254,20.2389,22.8673,0.18
2013-01-03/2013-12-31,2013,nsmallest,-99.0,3,3,1,0.999,0.002,1254,22.2305,22.8582,0.24
2011-01-07/2011-12-31,2011,nsmallest,-99.0,2,1,1,0.999,0.002,1254,21.4652,22.8404,0.16
2002-01-04/2002-12-31,2002,nsmallest,-99.0,2,4,2,0.999,0.002,1254,21.8926,22.7027,0.37
2011-01-04/2011-12-31,2011,nsmallest,-99.0,3,1,1,0.999,0.002,1254,21.7139,22.5152,0.22
2011-01-04/2011-12-31,2011,nsmallest,-99.0,2,1,1,0.999,0.002,1254,21.4652,22.2543,0.15
2023-01-02/2023-06-23,2023,nsmallest,-99.0,2,1,2,0.999,0.002,1254,4.2455,21.5499,0.23
2010-01-07/2010-12-31,2010,nsmallest,-99.0,3,3,1,0.999,0.002,1254,20.2417,21.513,0.2
2010-01-07/2010-12-31,2010,nsmallest,-99.0,4,1,1,0.999,0.002,1254,20.2,21.4677,0.24
2012-01-03/2012-12-31,2012,nsmallest,-99.0,3,4,1,0.999,0.002,1254,20.986,21.3856,0.17
2023-01-03/2023-06-23,2023,nsmallest,-99.0,4,1,3,0.999,0.002,1254,4.1862,21.2906,0.3
2023-01-03/2023-06-23,2023,nsmallest,-99.0,2,2,2,0.999,0.002,1254,4.185,21.2779,0.28
2012-01-04/2012-12-31,2012,nsmallest,-99.0,2,2,2,0.999,0.002,1254,20.5541,21.1196,0.27
2011-01-05/2011-12-31,2011,nsmallest,-99.0,2,3,2,0.999,0.002,1254,20.1857,21.0899,0.4
2010-01-06/2010-12-31,2010,nsmallest,-99.0,2,1,2,0.999,0.002,1254,19.8567,20.9172,0.37
2019-01-02/2019-12-31,2019,nsmallest,-99.0,2,4,1,0.999,0.002,1254,20.5246,20.9126,0.29
